,1st_flr_sf,2nd_flr_sf,3ssn_porch,alley,bedroom_abvgr,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_half_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_sf_1,bsmtfin_sf_2,bsmtfin_type_1,bsmtfin_type_2,central_air,condition_1,condition_2,electrical,enclosed_porch,exter_cond,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_cars,garage_cond,garage_finish,garage_qual,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,low_qual_fin_sf,ms_subclass,ms_zoning,mas_vnr_area,mas_vnr_type,misc_feature,misc_val,mo_sold,neighborhood,open_porch_sf,overall_cond,overall_qual,pid,paved_drive,pool_area,pool_qc,roof_matl,roof_style,sale_type,saleprice,screen_porch,street,totrms_abvgrd,total_bsmt_sf,utilities,wood_deck_sf,year_built,year_remod/add,yr_sold,neighborhood_rank
10,483,504,0,None,2,Twnhs,3,No,0.0,0.0,3,96.0,387.0,0.0,ALQ,Unf,Y,2,2,SBrkr,0,3,3,HdBoard,HdBoard,None,0,0,CBlock,1,7,264.0,1.0,3,Unf,3,Detchd,1971.0,987,1,GasA,3,2Story,1044,1,3,Lvl,Gtl,1680,Inside,21.0,Reg,0,160,RM,232.0,BrkFace,None,0,7,BrDale,0,5,6,527451290,Y,0,1,CompShg,Gable,COD,85400,0,Pave,4,483.0,AllPub,0,1971,1971,2008,3
11,1208,0,0,None,2,1Fam,3,Av,0.0,0.0,4,815.0,393.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,VinylSd,VinylSd,None,0,0,PConc,2,7,632.0,2.0,3,RFn,3,Attchd,2005.0,1208,0,GasA,5,1Story,2752,1,4,Lvl,Gtl,7488,Inside,64.0,IR1,0,20,RL,0.0,None,None,0,2,CollgCr,58,5,7,906380150,Y,0,1,CompShg,Gable,WD ,183600,0,Pave,6,1208.0,AllPub,105,2005,2005,2006,19
12,1288,728,0,None,4,1Fam,0,None,0.0,0.0,0,0.0,0.0,0.0,None,None,Y,1,2,SBrkr,0,3,4,HdBoard,HdBoard,None,3,1,PConc,1,4,576.0,2.0,3,Unf,3,Attchd,1900.0,2016,0,GasA,5,2Story,807,1,3,Bnk,Gtl,26400,FR2,120.0,Reg,0,70,RL,0.0,None,None,0,6,SawyerW,0,7,5,906226060,P,0,1,CompShg,Gable,WD ,131000,0,Pave,7,0.0,AllPub,0,1880,2007,2009,14
13,962,645,0,Pave,3,Twnhs,3,No,1.0,0.0,4,147.0,813.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,MetalSd,MetalSd,None,0,0,PConc,2,7,480.0,2.0,3,Unf,3,Detchd,2000.0,1607,1,GasA,5,2Story,1177,1,4,Lvl,Gtl,2645,Inside,24.0,Reg,0,160,FV,456.0,BrkFace,None,0,12,Somerst,0,5,8,533236070,Y,0,1,CompShg,Gable,ConLD,200000,0,Pave,7,960.0,AllPub,169,1999,2000,2008,22
14,1361,0,0,None,3,1Fam,3,Av,0.0,0.0,4,1327.0,24.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,VinylSd,VinylSd,None,0,0,PConc,2,7,610.0,2.0,3,RFn,3,Attchd,2007.0,1361,0,GasA,5,1Story,1480,1,4,Lvl,Gtl,9627,Inside,74.0,Reg,0,20,RL,0.0,None,None,0,6,CollgCr,50,5,7,907418040,Y,0,1,CompShg,Gable,WD ,193000,0,Pave,6,1351.0,AllPub,0,2007,2007,2008,19
15,1430,0,0,None,3,1Fam,3,Av,0.0,0.0,5,1430.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,3,VinylSd,VinylSd,None,0,0,PConc,2,7,624.0,2.0,3,RFn,3,Attchd,2004.0,1430,0,GasA,5,1Story,324,1,4,Lvl,Gtl,10114,Inside,93.0,Reg,0,20,RL,0.0,None,None,0,3,Mitchel,0,5,5,923202105,Y,0,1,CompShg,Gable,WD ,173500,0,Pave,7,1430.0,AllPub,0,2004,2005,2010,13
16,624,720,0,Grvl,4,1Fam,3,No,0.0,0.0,3,624.0,0.0,0.0,Unf,Unf,N,2,2,SBrkr,96,3,3,AsbShng,AsbShng,None,0,0,BrkTil,1,7,513.0,3.0,2,Unf,2,Detchd,1916.0,1344,0,GasA,2,2Story,1311,1,3,Lvl,Gtl,4571,Inside,34.0,Reg,0,70,RM,0.0,None,None,0,5,OldTown,0,5,5,902301140,Y,0,1,CompShg,Gable,COD,98000,0,Pave,7,624.0,AllPub,0,1916,1950,2008,4
17,1121,0,0,None,3,1Fam,3,No,1.0,0.0,3,470.0,651.0,0.0,Rec,Unf,Y,1,2,SBrkr,0,3,3,VinylSd,VinylSd,MnPrv,0,0,PConc,1,7,480.0,2.0,3,Unf,3,Detchd,1963.0,1121,0,GasA,3,1Story,770,1,3,Lvl,Gtl,8816,Corner,80.0,Reg,0,20,RL,0.0,None,None,0,6,Sawyer,80,6,5,905101490,Y,0,1,CompShg,Gable,WD ,139000,0,Pave,5,1121.0,AllPub,0,1963,1963,2009,9
18,1285,0,0,None,3,1Fam,3,No,0.0,0.0,3,660.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,3,Plywood,Plywood,MnPrv,3,1,CBlock,1,7,528.0,2.0,3,RFn,3,Attchd,1977.0,1285,1,GasA,5,1Story,2063,1,3,Lvl,Gtl,8197,Inside,71.0,Reg,0,20,RL,148.0,BrkFace,None,0,4,Sawyer,0,5,6,905107140,Y,0,1,CompShg,Gable,WD ,143500,0,Pave,7,660.0,AllPub,138,1977,1977,2007,9
19,764,783,0,None,3,1Fam,3,Mn,0.0,0.0,4,732.0,24.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,3,VinylSd,VinylSd,None,0,0,PConc,2,7,614.0,2.0,3,Unf,3,Attchd,2009.0,1547,1,GasA,5,2Story,69,1,4,Lvl,Gtl,8640,Inside,72.0,Reg,0,60,FV,0.0,None,None,0,6,Somerst,45,5,7,528458070,Y,0,1,CompShg,Gable,Con,215200,0,Pave,7,756.0,AllPub,169,2009,2009,2010,22
20,894,0,0,None,3,1Fam,3,No,0.0,0.0,4,402.0,492.0,0.0,BLQ,Unf,Y,2,2,SBrkr,0,3,3,VinylSd,VinylSd,None,1,1,CBlock,1,7,450.0,2.0,3,Fin,3,Attchd,1968.0,894,0,GasA,4,1Story,2062,1,3,Lvl,Gtl,8724,Inside,109.0,Reg,0,20,RL,0.0,None,None,0,5,Sawyer,0,5,5,905106150,Y,0,1,CompShg,Gable,WD ,129000,0,Pave,5,894.0,AllPub,0,1968,1968,2007,9
21,1659,0,0,None,2,TwnhsE,3,No,1.0,0.0,4,343.0,1158.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,CemntBd,CmentBd,None,5,1,PConc,2,7,499.0,2.0,3,Fin,3,Attchd,2000.0,1659,0,GasA,5,1Story,351,1,5,Lvl,Gtl,5664,Inside,40.0,IR1,0,120,RL,0.0,None,None,0,10,StoneBr,59,5,8,527131030,Y,0,1,CompShg,Gable,WD ,278000,0,Pave,5,1501.0,AllPub,212,2000,2000,2009,28
22,1209,1044,0,None,3,1Fam,3,Av,0.0,0.0,5,1209.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,4,CemntBd,CmentBd,None,4,1,PConc,2,7,575.0,2.0,3,Fin,3,Attchd,2005.0,2253,1,GasA,5,2Story,2393,1,5,Lvl,Gtl,12867,Corner,103.0,IR1,0,60,RL,0,None,None,0,7,NridgHt,142,5,8,528142010,Y,0,1,CompShg,Gable,New,344133,0,Pave,8,1209.0,AllPub,243,2005,2006,2006,27
23,1187,0,0,None,3,1Fam,3,No,1.0,0.0,4,233.0,935.0,0.0,ALQ,Unf,Y,2,2,SBrkr,0,4,3,HdBoard,HdBoard,GdPrv,0,0,PConc,2,7,420.0,2.0,3,Fin,3,Attchd,1992.0,1187,0,GasA,5,1Story,12,1,3,Lvl,Gtl,7980,Inside,68.0,IR1,0,20,RL,0.0,None,Shed,500,3,Gilbert,21,7,6,527165230,Y,0,1,CompShg,Gable,WD ,185000,0,Pave,6,1168.0,AllPub,483,1992,2007,2010,16
24,1056,0,0,None,3,2fmCon,3,Mn,1.0,0.0,3,0.0,1056.0,0.0,Rec,Unf,N,2,2,SBrkr,0,3,3,Wd Sdng,Wd Sdng,None,0,0,CBlock,1,7,572.0,2.0,3,Fin,3,Attchd,1955.0,1056,0,GasA,3,1Story,2339,1,3,Bnk,Gtl,34650,Inside,100.0,Reg,0,190,RL,0.0,None,None,0,1,Gilbert,0,5,5,527250040,Y,0,1,CompShg,Hip,WD ,145000,0,Pave,5,1056.0,AllPub,264,1955,1955,2006,16
25,1453,0,0,None,3,1Fam,3,No,1.0,0.0,3,141.0,1312.0,0.0,Rec,Unf,Y,2,2,SBrkr,0,3,3,MetalSd,MetalSd,GdPrv,3,1,CBlock,2,7,530.0,2.0,3,RFn,3,Attchd,1961.0,1453,0,GasA,5,1Story,624,1,3,Lvl,Gtl,10573,Corner,92.0,IR1,0,20,RL,3.0,BrkFace,None,0,4,NAmes,49,6,6,535104120,Y,0,1,CompShg,Hip,WD ,187500,288,Pave,6,1453.0,AllPub,0,1961,1961,2009,12
26,894,0,0,None,3,1Fam,3,No,1.0,0.0,3,224.0,553.0,117.0,GLQ,BLQ,Y,1,2,SBrkr,0,4,3,MetalSd,MetalSd,MnPrv,4,1,CBlock,1,7,336.0,1.0,3,Unf,3,Detchd,1973.0,894,0,GasA,5,1Story,86,1,3,Lvl,Gtl,8450,Inside,65.0,Reg,0,20,RL,0.0,None,None,0,4,Sawyer,144,8,5,532376160,Y,0,1,CompShg,Gable,WD ,138500,0,Pave,5,894.0,AllPub,416,1965,2009,2010,9
27,1265,673,0,Grvl,4,1Fam,3,No,0.0,0.0,3,336.0,606.0,0.0,BLQ,Unf,Y,2,2,SBrkr,0,3,3,WdShing,Wd Shng,None,4,1,CBlock,2,5,240.0,1.0,3,Unf,3,Detchd,1937.0,1938,0,GasA,5,1.5Fin,1534,1,4,HLS,Mod,11700,Inside,68.0,IR1,0,50,RL,0.0,None,None,0,7,Crawfor,40,6,5,909277040,Y,0,1,CompShg,Gable,WD ,198000,0,Pave,7,942.0,AllPub,0,1937,1995,2008,20
28,1034,957,0,None,4,2fmCon,3,No,0.0,0.0,3,957.0,0.0,0.0,Unf,Unf,N,1,2,SBrkr,133,4,3,VinylSd,VinylSd,None,0,0,CBlock,2,7,0.0,0.0,0,None,0,None,0.0,1991,0,GasA,2,2Story,2243,2,3,Lvl,Gtl,8250,Inside,75.0,Reg,0,190,C (all),0.0,None,None,0,6,IDOTRR,0,6,5,911103060,N,0,1,CompShg,Gable,WD ,119600,0,Pave,9,957.0,AllPub,0,1895,2006,2007,2
29,672,252,0,None,3,1Fam,3,Mn,0.0,0.0,3,672.0,0.0,0.0,Unf,Unf,Y,1,2,SBrkr,0,4,3,MetalSd,MetalSd,MnPrv,1,1,CBlock,1,7,576.0,2.0,3,Unf,3,Detchd,2003.0,924,0,GasA,5,1.5Fin,1957,1,3,Lvl,Gtl,8064,Corner,60.0,Reg,0,50,RL,0.0,None,Shed,2000,7,NAmes,0,7,5,535450190,Y,0,1,CompShg,Gable,WD ,122900,0,Pave,6,672.0,AllPub,0,1949,2006,2007,12
30,2524,0,0,None,4,1Fam,3,No,1.0,0.0,4,1420.0,1104.0,0.0,ALQ,Unf,Y,3,2,SBrkr,0,3,4,BrkFace,BrkFace,MnPrv,4,1,PConc,2,7,542.0,2.0,3,Fin,3,Attchd,1981.0,2524,1,GasA,3,1Story,380,1,4,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,0.0,None,None,0,7,NWAmes,120,5,8,527355150,Y,0,1,WdShngl,Hip,WD ,278000,0,Pave,9,2524.0,AllPub,474,1981,1981,2009,17
31,792,725,0,None,3,1Fam,3,No,0.0,0.0,4,792.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,0,3,3,BrkFace,Stucco,None,4,2,PConc,1,7,400.0,2.0,3,Unf,3,Detchd,1931.0,1517,0,GasA,2,2Story,2860,1,4,HLS,Mod,11435,Corner,68.0,IR1,0,70,RL,0.0,None,None,0,6,Crawfor,0,7,8,909276010,Y,0,1,CompShg,Gable,WD ,230000,0,Pave,7,792.0,AllPub,0,1929,1950,2006,20
32,1494,0,0,None,2,TwnhsE,4,Av,1.0,0.0,4,0.0,437.0,1057.0,LwQ,GLQ,Y,2,2,SBrkr,0,4,4,BrkFace,BrkFace,None,4,1,PConc,1,7,481.0,2.0,3,Fin,3,Attchd,1995.0,1494,1,GasA,5,1Story,2517,1,5,Lvl,Gtl,9549,CulDSac,30.0,IR1,0,120,RL,0.0,None,None,0,4,Veenker,30,5,8,533250130,Y,0,1,CompShg,Hip,WD ,270000,216,Pave,6,1494.0,AllPub,0,1995,1996,2006,24
33,948,0,0,None,2,1Fam,3,No,0.0,0.0,3,507.0,441.0,0.0,ALQ,Unf,Y,2,2,SBrkr,0,3,3,Wd Sdng,Wd Sdng,None,0,0,CBlock,1,7,410.0,2.0,3,Unf,3,Detchd,1952.0,948,0,GasA,3,1Story,1933,1,3,Lvl,Gtl,10950,Inside,60.0,Reg,0,20,RL,0.0,None,None,0,4,NAmes,48,6,6,535302070,N,0,1,CompShg,Hip,WD ,125000,0,Pave,5,948.0,AllPub,0,1952,1952,2007,12
34,1718,0,0,None,3,1Fam,3,Gd,1.0,0.0,5,417.0,1288.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,4,VinylSd,VinylSd,None,4,1,PConc,2,7,826.0,3.0,3,RFn,3,Attchd,2007.0,1718,0,GasA,5,1Story,820,1,4,Lvl,Gtl,10637,Inside,79.0,Reg,0,20,RL,336.0,Stone,None,0,9,CollgCr,44,5,8,906340110,Y,0,1,CompShg,Hip,WD ,297000,0,Pave,7,1705.0,AllPub,208,2007,2008,2009,19
35,1142,0,0,None,2,1Fam,3,Gd,0.0,0.0,4,160.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,64,3,3,Wd Sdng,Wd Sdng,None,4,1,CBlock,1,7,384.0,1.0,3,RFn,3,Basment,1958.0,1142,0,GasA,2,1Story,675,1,3,HLS,Mod,9000,Inside,80.0,IR1,0,20,RL,82.0,BrkFace,None,0,4,NAmes,28,6,6,535426150,Y,0,1,Tar&Grv,Flat,WD ,113500,0,Pave,5,160.0,AllPub,0,1958,1958,2009,12
36,925,550,0,None,4,TwnhsE,3,No,0.0,0.0,3,36.0,548.0,173.0,ALQ,Rec,Y,2,2,SBrkr,0,3,3,CemntBd,CmentBd,None,3,1,PConc,2,7,336.0,1.0,3,RFn,3,Attchd,1977.0,1475,0,GasA,5,2Story,2910,1,3,Lvl,Gtl,2665,Inside,41.0,Reg,0,160,RM,0.0,None,None,0,7,MeadowV,26,6,5,923225240,Y,0,1,CompShg,Gable,WD ,127000,0,Pave,6,757.0,AllPub,104,1977,1977,2006,1
37,1844,0,0,None,3,1Fam,3,No,0.0,0.0,4,1139.0,705.0,0.0,BLQ,Unf,Y,2,2,SBrkr,0,3,3,Plywood,Plywood,MnPrv,3,1,CBlock,2,7,546.0,2.0,3,RFn,3,Attchd,1977.0,1844,0,GasA,5,1Story,21,1,3,Lvl,Gtl,11751,Inside,105.0,IR1,0,20,RL,480.0,BrkFace,None,0,1,NWAmes,122,6,6,527358140,Y,0,1,CompShg,Hip,COD,190000,0,Pave,7,1844.0,AllPub,0,1977,1977,2010,17
38,1242,0,0,None,3,1Fam,3,No,0.0,0.0,3,326.0,916.0,0.0,ALQ,Unf,Y,2,2,SBrkr,0,3,3,HdBoard,HdBoard,None,3,1,CBlock,1,7,528.0,2.0,3,Unf,3,Attchd,1973.0,1242,1,GasA,2,1Story,1873,1,3,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,320.0,BrkFace,None,0,9,NWAmes,0,6,7,534177210,Y,0,1,CompShg,Hip,WD ,175500,0,Pave,6,1242.0,AllPub,0,1973,1973,2007,17
39,990,0,0,None,3,1Fam,4,No,1.0,0.0,4,570.0,420.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,4,3,VinylSd,VinylSd,None,0,0,PConc,1,7,384.0,1.0,3,Unf,3,Detchd,1995.0,990,0,GasA,5,1Story,2125,1,3,Lvl,Gtl,8428,Inside,60.0,IR2,0,20,RL,0.0,None,None,0,7,CollgCr,0,7,5,907135050,Y,0,1,CompShg,Gable,WD ,146000,0,Pave,5,990.0,AllPub,256,1994,1994,2007,19
40,1256,0,0,None,3,1Fam,3,No,1.0,0.0,3,136.0,830.0,290.0,BLQ,LwQ,Y,2,2,SBrkr,0,3,4,HdBoard,HdBoard,None,0,0,CBlock,1,7,276.0,1.0,3,Fin,3,Attchd,1965.0,1256,1,GasA,4,1Story,1489,1,3,Lvl,Gtl,9937,Inside,75.0,Reg,0,20,RL,0.0,None,None,0,6,Edwards,68,6,5,908102260,Y,0,1,CompShg,Gable,WD ,147500,0,Pave,6,1256.0,AllPub,736,1965,1965,2008,6
41,2076,0,0,None,2,1Fam,4,Gd,1.0,0.0,5,690.0,1386.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,3,5,VinylSd,VinylSd,None,4,1,PConc,2,7,850.0,3.0,3,Fin,3,Attchd,2006.0,2076,1,GasA,5,1Story,2383,1,5,Lvl,Gtl,13891,Inside,107.0,Reg,0,20,RL,0,None,None,0,9,NridgHt,229,5,10,528110050,Y,0,1,CompShg,Gable,New,465000,0,Pave,7,2076.0,AllPub,216,2006,2006,2006,27
42,1110,0,0,None,1,1Fam,3,Av,1.0,0.0,4,0.0,1097.0,0.0,GLQ,Unf,Y,2,2,SBrkr,0,4,3,Plywood,Plywood,None,3,1,PConc,1,7,602.0,2.0,3,Fin,3,Attchd,1978.0,1110,0,GasA,5,SFoyer,983,1,4,Lvl,Gtl,9101,Corner,68.0,IR1,0,85,RL,104.0,BrkFace,None,0,7,Mitchel,30,6,5,923275040,Y,0,1,CompShg,Gable,WD ,165500,0,Pave,4,1097.0,AllPub,303,1978,1978,2009,13
43,1050,745,0,Grvl,4,1Fam,3,No,0.0,0.0,3,1050.0,0.0,0.0,Unf,Unf,N,2,2,FuseF,0,3,3,MetalSd,MetalSd,None,0,0,BrkTil,2,7,352.0,1.0,3,Unf,2,Attchd,1954.0,1795,0,GasA,5,1.5Fin,1325,1,3,Lvl,Gtl,12150,Inside,81.0,Reg,0,50,RM,335.0,BrkFace,None,0,11,OldTown,0,5,5,902406090,Y,0,1,CompShg,Gable,WD ,131500,0,Pave,7,1050.0,AllPub,0,1954,1954,2008,4
44,1040,0,0,None,3,1Fam,3,No,1.0,0.0,3,134.0,906.0,0.0,Rec,Unf,Y,2,2,SBrkr,0,3,3,HdBoard,HdBoard,None,0,0,CBlock,1,7,384.0,1.0,3,Unf,3,Detchd,1965.0,1040,0,GasA,5,1Story,1378,1,3,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,None,0,2,Sawyer,0,5,5,905102170,Y,0,1,CompShg,Hip,WD ,129500,0,Pave,5,1040.0,AllPub,0,1965,1965,2008,9
45,983,890,0,None,4,1Fam,2,No,0.0,0.0,3,398.0,210.0,0.0,LwQ,Unf,Y,2,2,SBrkr,207,3,3,BrkFace,Stucco,None,4,2,PConc,1,7,786.0,2.0,3,Fin,2,Detchd,1935.0,1873,1,GasA,3,2Story,1537,1,3,HLS,Mod,9670,Inside,100.0,IR1,0,70,RL,40.0,Stone,None,0,6,Crawfor,0,6,8,909281110,Y,0,1,CompShg,Gable,WD ,257076,0,Pave,9,608.0,AllPub,0,1935,1950,2008,20
46,984,620,0,Grvl,3,1Fam,3,No,0.0,0.0,3,156.0,408.0,420.0,LwQ,BLQ,Y,2,2,SBrkr,0,3,3,Wd Sdng,Wd Sdng,None,0,0,CBlock,2,5,660.0,2.0,3,Unf,3,Detchd,1977.0,1604,0,GasA,5,1.5Fin,905,1,3,Lvl,Gtl,10998,Inside,60.0,Reg,0,50,RL,0.0,None,None,0,7,Edwards,68,5,5,909101140,Y,0,1,CompShg,Gable,WD ,117000,0,Pave,6,984.0,AllPub,0,1941,1960,2009,6
47,851,651,0,None,3,1Fam,3,No,0.0,0.0,4,776.0,0.0,0.0,Unf,Unf,Y,2,2,SBrkr,112,2,3,Stucco,Wd Shng,MnPrv,4,1,BrkTil,1,7,270.0,1.0,3,RFn,3,Attchd,1931.0,1502,1,GasA,3,2Story,1532,1,3,HLS,Mod,7200,Inside,60.0,Reg,0,70,RL,0.0,None,None,0,2,Crawfor,0,6,7,909275050,P,0,1,CompShg,Gable,WD ,149000,0,Pave,6,776.0,AllPub,0,1931,2000,2008,20
48,1063,0,0,None,3,1Fam,3,No,1.0,0.0,3,412.0,354.0,290.0,Rec,LwQ,Y,2,2,SBrkr,164,3,3,HdBoard,HdBoard,MnPrv,0,0,CBlock,1,7,280.0,1.0,3,RFn,3,Attchd,1954.0,1063,0,GasA,3,1Story,132,1,3,Lvl,Gtl,9920,Inside,80.0,Reg,0,20,RL,110.0,Stone,None,0,2,NAmes,0,5,5,534475100,Y,0,1,CompShg,Gable,WD ,128000,0,Pave,6,1056.0,AllPub,0,1954,1954,2010,12
